Date, Manager Nickname, Worker Nickname, Number, Partner Nickname, Partner ID, Money Out, Money In
01-11-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0
01-11-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0
01-11-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0
01-11-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0
01-11-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0
01-11-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0
01-11-2015, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0
01-11-2015, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0
01-11-2015, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0
01-12-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0
01-12-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0
01-12-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0
01-12-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0
01-12-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0
01-12-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0
01-12-2015, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0
01-12-2015, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0
01-12-2015, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0
01-02-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0
01-02-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0
01-02-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0
01-02-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0
01-02-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0
01-02-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0
01-02-2015, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0
01-02-2015, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0
01-02-2015, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0
01-03-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0
01-03-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0
01-03-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0
01-03-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0
01-03-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0
01-03-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0
01-03-2015, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0
01-03-2015, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0
01-03-2015, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0
01-03-2016, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0
01-03-2016, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0
01-03-2016, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0
